unixtime,open,high,low,close,volume,label
1735862400000,96967.6,97325.7,96622.0,97019.1,11388.626,0.0
1735876800000,97019.1,97034.9,96236.6,96275.0,14493.689,0.0
1735891200000,96275.1,96788.0,96061.5,96710.5,16109.732,0.0
1735905600000,96710.4,97637.7,96422.5,97479.5,33904.407,0.0
1735920000000,97479.6,98949.0,97353.6,98545.5,36541.023,0.0
1735934400000,98545.6,98705.0,98028.5,98145.7,12783.197,0.0
1735948800000,98145.7,98272.6,97762.1,98149.4,11796.611,0.0
1735963200000,98149.3,98300.0,97830.0,98244.2,7743.12,0.0
1735977600000,98244.2,98300.0,97438.2,97831.8,14626.729,0.0
1735992000000,97831.8,98117.6,97472.0,97623.6,15225.112,0.0
1736006400000,97623.5,98334.6,97535.7,98120.3,9987.065,0.0
1736020800000,98120.4,98760.9,98076.4,98173.2,12535.997,0.0
1736035200000,98173.2,98349.8,98001.1,98160.1,5656.739,0.0
1736049600000,98160.0,98496.3,98160.0,98225.3,7364.236,0.0
1736064000000,98225.3,98225.4,97533.6,97609.5,13194.206,0.0
1736078400000,97609.5,98248.5,97227.0,97986.6,19204.699,0.0
1736092800000,97987.1,98297.3,97530.0,98050.0,12523.264,0.0
1736107200000,98050.0,98852.6,97986.3,98340.2,17006.145,0.0
1736121600000,98340.2,99278.0,97872.6,99005.0,26621.424,0.0
1736136000000,99005.0,99886.7,99005.0,99280.0,25842.394,0.0
1736150400000,99280.0,99600.0,98662.7,99219.3,21919.386,0.0
1736164800000,99219.2,102443.9,98670.0,102104.5,78806.424,-1.0
1736179200000,102104.5,102444.0,101223.0,101771.7,38386.837,-1.0
1736193600000,101771.7,102298.8,101551.2,102180.4,15916.864,-1.0
1736208000000,102180.5,102762.1,101459.4,101661.3,18124.335,-1.0
1736222400000,101661.4,101986.1,101528.8,101649.3,9587.694,-1.0
1736236800000,101649.3,101973.1,100435.4,100787.0,27244.306,-1.0
1736251200000,100787.0,100914.2,97100.0,97915.3,102572.629,0.0
1736265600000,97915.4,98307.9,96295.9,96433.3,68434.86,0.0
1736280000000,96433.3,97185.8,96153.0,96920.3,32747.485,0.0
1736294400000,96920.2,97242.2,96200.0,96504.1,22590.19,0.0
1736308800000,96504.1,96616.3,95222.0,95628.4,38378.445,0.0
1736323200000,95628.3,96100.0,94480.7,95093.9,33435.244,0.0
1736337600000,95093.8,96064.5,94588.9,95450.0,55769.475,0.0
1736352000000,95449.9,95456.2,92500.0,94217.2,87321.554,0.0
1736366400000,94217.1,95265.8,93509.8,95014.1,24517.205,0.0
1736380800000,95014.0,95358.7,93405.3,93985.0,32781.223,0.0
1736395200000,93985.0,94582.0,93156.0,93176.4,23080.953,0.0
1736409600000,93176.5,93832.8,92700.0,93414.4,35074.143,0.0
1736424000000,93414.3,94547.7,91747.0,94195.2,67736.15,0.0
1736438400000,94195.1,94644.8,91853.0,91858.3,54387.438,0.0
1736452800000,91858.2,92674.9,91055.8,92505.9,44700.995,0.0
1736467200000,92506.0,93682.8,92395.9,93654.9,20708.684,0.0
1736481600000,93655.0,94975.2,93450.8,94457.0,26429.005,0.0
1736496000000,94457.0,95239.9,94344.5,95030.5,24667.579,0.0
1736510400000,95030.5,95078.0,92173.6,93704.0,110225.73,0.0
1736524800000,93704.0,95882.5,93151.5,95275.9,64309.711,0.0
1736539200000,95276.0,95412.3,94531.4,94675.5,15602.245,0.0
1736553600000,94675.6,94700.0,94060.8,94168.3,10624.496,0.0
1736568000000,94168.3,94394.3,93802.1,94210.3,9858.079,0.0
1736582400000,94210.2,94757.9,94000.0,94570.4,11530.321,0.0
1736596800000,94570.4,94613.6,94262.1,94365.8,8787.678,0.0
1736611200000,94365.9,94680.3,93943.0,94206.5,12137.832,0.0
1736625600000,94206.5,94988.0,94150.9,94562.5,11723.357,0.0
1736640000000,94562.4,94665.7,94260.0,94586.0,6125.373,0.0
1736654400000,94586.0,94614.5,94227.2,94291.3,4831.221,0.0
1736668800000,94291.2,94359.5,93661.1,94209.0,15455.056,0.0
1736683200000,94209.0,95444.0,94128.0,95035.6,21151.098,0.0
1736697600000,95035.7,95278.0,94527.8,94625.1,11349.438,0.0
1736712000000,94625.0,94777.2,93727.4,94499.9,18385.947,0.0
1736726400000,94499.9,95934.5,93852.0,94215.4,39756.953,0.0
1736740800000,94215.4,94878.0,93222.2,93557.9,29936.963,0.0
1736755200000,93557.9,93626.1,90809.8,90827.5,69147.558,1.0
1736769600000,90827.5,93055.0,88909.0,92093.6,127451.604,1.0
1736784000000,92093.7,92501.5,91207.8,92274.8,54692.581,1.0
1736798400000,92274.9,94681.1,91869.3,94485.3,40164.831,0.0
1736812800000,94485.4,95260.0,94305.4,94821.2,22691.711,1.0
1736827200000,94821.3,95437.8,94710.0,94823.3,16022.964,1.0
1736841600000,94823.4,97353.9,94823.3,96508.4,55743.583,0.0
1736856000000,96508.3,97250.0,95715.8,96416.7,59887.331,0.0
1736870400000,96416.8,97044.8,95309.9,96496.5,43657.669,0.0
1736884800000,96496.5,96882.8,96100.1,96514.9,14856.403,0.0
1736899200000,96514.9,97530.2,96450.2,97288.7,26432.753,0.0
1736913600000,97288.8,97688.0,96689.2,97253.7,22265.926,0.0
1736928000000,97253.7,97488.0,96480.0,96725.4,20975.23,0.0
1736942400000,96725.5,99746.6,96500.0,98943.4,85483.105,0.0
1736956800000,98943.3,100038.1,98550.1,99807.4,34322.161,0.0
1736971200000,99807.4,100658.9,99410.3,100460.0,32938.391,0.0
1736985600000,100460.0,100850.0,99106.8,99438.8,28294.304,1.0
1737000000000,99438.9,99869.2,99284.2,99756.5,12552.843,1.0
1737014400000,99756.5,99787.8,98557.8,99107.1,34575.941,1.0
1737028800000,99107.1,99479.7,97293.6,99258.3,68005.563,1.0
1737043200000,99258.2,100426.0,99023.9,100382.0,46977.234,1.0
1737057600000,100382.0,100599.8,99326.3,99937.4,26396.635,1.0
1737072000000,99937.4,102133.7,99902.0,101005.1,45074.023,0.0
1737086400000,101005.2,101845.6,100900.0,101406.9,16966.096,0.0
