[22:06:55] [DEBUG] Using proactor: IocpProactor
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488165, 'p': '115868.90000000', 'q': '0.00015000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488166, 'p': '115868.90000000', 'q': '0.08301000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488167, 'p': '115868.90000000', 'q': '0.00005000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488168, 'p': '115868.90000000', 'q': '0.00118000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488169, 'p': '115868.90000000', 'q': '0.00047000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488170, 'p': '115868.90000000', 'q': '0.00057000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488171, 'p': '115868.90000000', 'q': '0.00008000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488172, 'p': '115868.90000000', 'q': '0.00070000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488173, 'p': '115868.90000000', 'q': '0.00104000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488174, 'p': '115868.90000000', 'q': '0.04773000', 'T': 1758373690175, 'm': True, 'M': True}
